what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559236895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559237094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559237274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559237689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559238279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559238685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559238907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559239100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559239296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559239502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559245664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559246028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559248653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559256425
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396559266514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559268590
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1396559270797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559271855
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559274743
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559278461
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1396559289089
started,bundle,com.mountainminds.eclemma.core,2.3.0.201403192240,"com.mountainminds.eclemma.core",1396559289096
started,bundle,com.mountainminds.eclemma.ui,2.3.0.201403192240,"com.mountainminds.eclemma.ui",1396559289102
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1396559289197
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1396559289240
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1396559290006
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1396559290010
executed,command,com.mountainminds.eclemma.ui,2.3.0.201403192240,"com.mountainminds.eclemma.ui.junitShortcut.coverage",1396559290867
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1396559291101
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1396559291111
started,bundle,org.python.pydev.debug,2.5.0.2012040618,"org.python.pydev.debug",1396559291112
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1396559291373
opened,view,com.mountainminds.eclemma.ui,2.3.0.201403192240,"com.mountainminds.eclemma.ui.CoverageView",1396559292022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559302523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559303111
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1396559316105
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559320594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559330682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559330841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559332990
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1396559334807
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1396559334937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559344415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559363027
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559363053
activated,view,com.mountainminds.eclemma.ui,2.3.0.201403192240,"com.mountainminds.eclemma.ui.CoverageView",1396559381139
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559427720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559456394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559467115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559476999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559486738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559549893
activated,view,com.mountainminds.eclemma.ui,2.3.0.201403192240,"com.mountainminds.eclemma.ui.CoverageView",1396559549916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559558804
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1396559561130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559561430
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1396559563835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559564078
activated,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1396559564728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559566120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559572473
started,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1396559573278
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1396559573293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559574530
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559578598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559590332
activated,view,com.mountainminds.eclemma.ui,2.3.0.201403192240,"com.mountainminds.eclemma.ui.CoverageView",1396559595672
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559600635
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559612397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559629208
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396559635862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559639099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559644452
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396559644481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559647659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559654639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559655624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559657591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396559670817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559676295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559679922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559688743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559704121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559708406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1396559712322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559731223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396559833518
